headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Ba","hloli.","éa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bachful","adj.","e hooi, e |i-blong.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_right.png","page_021_right.txt","",""
"Bali","v.","ho nyamdlotsa; to be blistered, ho bu-; luloha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_right.png","page_026_right.txt","",""
"Bane","prep.","ka baka la. a, Beckon, y. ho hoéhla, khna-tha, g. Become, v. (to befit) ho l6kéla, PAL tsuanéla; (to change into) ho fetoha, fetohela; he became mad, a feto-ha lehlanya. le Becoming, adj. e loketseng, e tSuanetseng.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_022_right.png","page_022_right.txt","",""
"Banknote","n.","chelete ea pa1","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Bankrupt","adj.","and n. en sitoang ho lefa melato | ea hae.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Banner","n.","flaga.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Banquet","n.","sebdka se sehdlé sa liyo, selallo se seholo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Banter","n.","litseho, mosuaso.,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Baptise","v.","ho kolobetsa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Baptism","n.","kolobetso.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Bar","v.","ho kualla, thibéla, |","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
"Barbed","adj.","e nang te lintlha | tse hlabang, e meut)ua.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_021_left.png","page_021_left.txt","",""
