Word,Frequency,Example Context
ho,1516,"ho hlaponya, antsa"
e,455,"ntho e tsohang e hlahela motho, tsietsi, ngope-a-sesoha"
ea,256,ea sa tsabeng let ho.
ka,199,ka maoto
le,140,"e phakisang, e nang le mohelo"
v,106,"to become larger, wider, extended; atl!ll!sa, v. t., to make larger, to enlarge, to expand. Atsoa, v t., to grant, to give, to help with. Au I excl. of astonishment, indeed! R D,g,tized by Google _J"
se,91,"e batlile ho, lekhatheng la; (e.g.) ba se ba le haufi"
sa,80,"to become larger, wider, extended; atl!ll!sa, v. t., to make larger, to enlarge, to expand. Atsoa, v t., to grant, to give, to help with. Au I excl. of astonishment, indeed! R D,g,tized by Google _J"
n,73,"ho thusa, tlatsa, tlatsetsa ; n. thuso"
oa,68,motšehare oa mantsibōeng
ba,64,"ka])ele ; to go afiead (lit. and fig.), ho tsaela pele. Aid, V. ho thusa, tlatsa, tlatsetsa ; ii thaso. Ail, V. ho baba, kuhi, ba bohloko"
la,56,"e batlile ho, lekhatheng la; (e.g.) ba se ba le haufi"
ntho,45,"ntho e tsohang e hlahela motho, tsietsi, ngope-a-sesoha"
kapa,43,ho lla (joalo ka nku kapa poli).
o,42,(to withdraw affection) ho aelefatsa; (to transfer) ho neela ntho ho o mong
motho,41,"ntho e tsohang e hlahela motho, tsietsi, ngope-a-sesoha"
ha,37,"eohle, tsohle, bohle ; n. kaofela ha"
haholo,34,ho makatsa haholo
pele,33,ho tsoela pele
matla,31,ea matla 'ohle
tsa,31,"Iiar'a, iiialuii-eng a, pnkong tsa. Ammunitifm^ n. linibu tsa ntoa (Ukulo, iiu'sili). Amongst^ prop, bai-'a, muhsireug a. AmoiiiU^ u. pHlu. I)()ii^'-ata. Amputate^ \ lio poiua setiio, bo kbaola."
taba,30,"taba, mosebetsi"
bo,27,"mahlomola a letsoalo, bohloko bo boholo"
etsa,27,"ho etsa lehofi, ho opa ka liatla, ho rorisa"
often,25,"A raised structure, often made of stone, used for sacrifice."
tse,24,"ho beea ka lihlopha, ho teanya tse tšoanang, ho hlophisa"
nang,23,"e phakisang, e nang le mohelo"
