Word,Frequency,Example Context
adj,3,adj. en yetello.
litonanahali,3,liphoofolo tsa litonanahali
mohanyetsi,2,mohanyetsi
prep,2,ka morao ; prep. ka mora
ema,2,ho ema
lelapa,2,ba lelapa la borena
fere,2,ea mofere-fere
qapa,2,ho qapa
pheko,2,ho ho etsa pheko
ipolela,2,ipolela
khalaletso,2,khalaletso
hahabang,2,phoofolo e hahabang
hloho,2,ho ho fapana hloho
behiloeng,2,ntho e behiloeng
booi,2,e@ booi.
hlokang,2,e hlokang letheba
oftener,2,oftener mafura
tlepe,2,| tlepe tlepe
hlanyang,2,e hlanyang.
qabang,2,qabang.
thunthelitsoeng,2,khauta e thunthelitsoeng
hauhela,2,hauhela
hleke,2,hleke-hleke
seo,1,seo se nyonyehang
foleng,1,lepera le sa foleng
antsa,1,antsa
tiso,1,tiso
tsota,1,ho tsota
lilopha,1,lilopha
bosoto,1,bosoto
elotsa,1,elotsa
moniamo,1,moniamo
sisimosa,1,ho sisimosa
perama,1,ho perama
sisa,1,ho sisa pelo
iketsisa,1,ho iketsisa
omela,1,omela
komelo,1,komelo
hlomoha,1,ho hlomoha
hloriswa,1,hloriswa
tsabisa,1,tsabisa
bocha,1,bocha
ajiante,1,ajiante
fulua,1,ho fulua
tsoka,1,ho tsoka
tsokotsa,1,ho tsokotsa
ferekana,1,ho ferekana
erehana,1,ho ho erehana
utloana,1,ho utloana
kuha,1,kuha
korola,1,ho korola
mohelo,1,e nang le mohelo
neela,1,ho neela ntho ho o mong
bebola,1,ho bebola
arolela,1,arolela
holimo,1,holimo
alone,1,'notsi ; to be alone
koo,1,koo ; prep. ho ea le
it,1,se ; it is dark already
is,1,se ; it is dark already
dark,1,se ; it is dark already
already,1,se ; it is dark already
phirimile,1,ho se ho phirimile
babatseha,1,ho babatseha
mahareng,1,mahareng a
ukulo,1,limbu tsa ntoa (ukulo
mesili,1,mesili)
morongwa,1,morongwa
sekutlo,1,sekutlo
hloeo,1,hloeo
hela,1,hela
tsieleho,1,tsieleho
tetemisa,1,tetemisa
seriti,1,seriti
letlatse,1,letlatse
katamelo,1,ho atamela ; n. katamelo
tsoanelang,1,e tsoanelang
fofonela,1,fofonela
forokoto,1,forokoto
thethana,1,thethana (traditional)
traditional,1,thethana (traditional)
tshireletso,1,seaparo sa tshireletso
tikoloho,1,tikoloho
phehisana,1,ho phehisana khang
hanyetsana,1,ho hanyetsana
hlomela,1,ho hlomela (to arm someone)
arm,1,ho hlomela (to arm someone)
someone,1,ho hlomela (to arm someone)
lebotho,1,lebotho la ntoa
approximate,1,hoo e ka bang (approximate)
susumetsa,1,ho susumetsa
rulanya,1,ho rulanya
stop,1,ho thibela (stop)
tlamella,1,ho tlamella
qi,1,ho re qi
fihlella,1,ho fihlella (attain)
attain,1,ho fihlella (attain)
boikgoantšo,1,boikgoantšo
ikakasang,1,ea ikakasang
bow,1,seqha le metsu (bow and arrows)
arrows,1,seqha le metsu (bow and arrows)
visual,1,setshwantsho (visual art)
art,1,setshwantsho (visual art)
writing,1,sehlooho (writing)
object,1,ntho (object)
temana,1,temana (clause/paragraph)
clause,1,temana (clause/paragraph)
paragraph,1,temana (clause/paragraph)
moetsi,1,moetsi oa litšoantšo
comparison,1,joalo ka (comparison)
kaha,1,kaha (because)
because,1,kaha (because)
mothipo,1,mothipo
bohlisa,1,bohlisa
pokano,1,pokano
holelisa,1,holelisa
tsotisa,1,tsotisa
hlollo,1,hlollo
likoto,1,ka likoto
papatso,1,papatso
tefelo,1,tefelo
manguane,1,'manguane
qotho,1,oa qotho
qeno,1,qeno
phema,1,phema
phaphama,1,ho phaphama
khaolo,1,khaolo ea nyeoe
nyeoe,1,khaolo ea nyeoe
battle,1,selepe ; battle-axe
axe,1,selepe ; battle-axe
kuakoa,1,kuakoa
felloa,1,ho felloa ke matlotlo
matlotlo,1,ho felloa ke matlotlo
mokuti,1,mokuti
khone,1,sa khone ho ba le bana
mokatla,1,mokatla
khohlano,1,khohlano
bata,1,ho ho bata
lefifing,1,ho ho ba lefifing
kgabane,1,kgabane
bosooa,1,bosooa
polao,1,molato oa polao
ntlong,1,ntlong ea makhoba
makhoba,1,ntlong ea makhoba
ditena,1,ditena
ngwanabo,1,ngwanabo
chesa,1,ho chesa
cha,1,ho cha
bitsa,1,ho bitsa
pitso,1,ho pitso
mema,1,ho mema
ngoliso,1,ngoliso
mohlola,1,mohlola-ngoana
keiting,1,keiting
kgothatso,1,kgothatso
khaotseng,1,ho sa khaotseng
sekoahelo,1,sekoahelo
tlholohelo,1,tlholohelo
khaoletsoa,1,ho khaoletsoa
tlotso,1,tlotso
bodiba,1,bodiba
phofa,1,ho ho phofa
thako,1,thako
bolaea,1,ho bolaea
veine,1,nyehelo ea veine
pitsa,1,pitsa ea letsopa
bochaba,1,bochaba-tsatsi
tsatsi,1,bochaba-tsatsi
